title,date,link,weekendRevenue,weekendScreens,firstRevenue,firstScreens,multipleTables
Keep Watching,3/24/2017,/movies/?id=keepwatching.htm,-1,-2,-3,-4,False
Wilson,3/24/2017,/movies/?id=wilson2016.htm,-1,-2,-3,-4,False
Power Rangers (2017),3/24/2017,/movies/?id=powerrangers16.htm,-1,-2,-3,-4,False
The 5th Quarter,3/25/2011,/movies/?id=5thquarter.htm,"$221,600",123,-3,-4,False
Sucker Punch,3/25/2011,/movies/?id=suckerpunch.htm,"$20,876,700","3,033","$8,797,800","3,033",False
Mia and the Migoo,3/25/2011,/movies/?id=miaandthemigoo.htm,"$18,600",1,"$2,900",1,False
Peep World,3/25/2011,/movies/?id=peepworld.htm,"$7,300",3,-3,-4,False
Diary of a Wimpy Kid: Rodrick Rules,3/25/2011,/movies/?id=diaryofawimpykid2.htm,"$26,017,900","3,167","$7,979,300","3,167",False
Illegal (2011),3/25/2011,/movies/?id=illegal2011.htm,$400,1,-3,-4,False
Korkoro,3/25/2011,/movies/?id=korkoro.htm,"$1,300",1,-3,-4,False
Potiche,3/25/2011,/movies/?id=potiche.htm,"$94,200",7,-3,-4,False
Miral,3/25/2011,/movies/?id=miral.htm,"$72,600",4,"$21,600",4,False
White Irish Drinkers,3/25/2011,/movies/?id=whiteirishdrinkers.htm,"$18,400",5,-3,-4,False
Kidnapping of Michel Houellebecq,3/25/2015,/movies/?id=kidnappingofmichelhouellebecq.htm,$200,1,-3,-4,False
Batman v Superman: Dawn of Justice,3/25/2016,/movies/?id=superman2015.htm,"$166,587,800","4,242","$81,843,700","4,242",False
They're Watching,3/25/2016,/movies/?id=theyrewatching.htm,-1,-2,-3,-4,False
I Saw the Light,3/25/2016,/movies/?id=isawthelight.htm,"$45,600",5,-3,-4,False
Valley of Love,3/25/2016,/movies/?id=valleyoflove.htm,"$9,900",2,-3,-4,False
The Lobster (Canada Release),3/25/2016,/movies/?id=thelobstercanada.htm,"$2,700",4,-3,-4,False
My Big Fat Greek Wedding 2,3/25/2016,/movies/?id=mybigfatgreekwedding2.htm,"$17,924,400","3,133","$7,350,400","3,133",False
April and the Extraordinary World,3/25/2016,/movies/?id=aprilandtheextraordinaryworld.htm,"$11,500",1,"$3,700",1,False
Rocky Handsome,3/25/2016,/movies/?id=rockyhandsome.htm,-1,-2,-3,-4,False
Born to be Blue (US Release),3/25/2016,/movies/?id=borntobeblue.htm,"$46,300",3,-3,-4,False
Alexandra,3/26/2008,/movies/?id=alexandra.htm,"$11,300",1,-3,-4,True
Hot Tub Time Machine,3/26/2010,/movies/?id=hottubtimemachine.htm,"$15,184,500","2,754","$5,249,200","2,754",False
Terkel in Trouble,3/26/2010,/movies/?id=terkelintrouble.htm,"$4,000",2,-3,-4,False
Godspeed,3/26/2010,/movies/?id=godspeed.htm,-1,-2,-3,-4,False
Dream Boy,3/26/2010,/movies/?id=dreamboy.htm,"$2,400",1,-3,-4,False
Manuela and Manuel,3/26/2010,/movies/?id=manuelaandmanuel.htm,$700,1,-3,-4,False
Dancing Across Borders,3/26/2010,/movies/?id=dancingacrossborders.htm,"$5,600",1,-3,-4,False
Lbs.,3/26/2010,/movies/?id=lbs.htm,"$12,700",1,-3,-4,False
Waking Sleeping Beauty,3/26/2010,/movies/?id=wakingsleepingbeauty.htm,"$35,900",5,"$11,200",5,False
Bluebeard,3/26/2010,/movies/?id=bluebeard.htm,"$9,100",1,-3,-4,False
Chloe,3/26/2010,/movies/?id=chloe.htm,"$975,500",350,-3,-4,False
Ca$h,3/26/2010,/movies/?id=cash10.htm,"$17,800",27,"$6,300",27,False
How to Train Your Dragon,3/26/2010,/movies/?id=howtotrainyourdragon.htm,"$47,362,900","4,055","$13,117,300","4,055",False
Just Say Love,3/26/2010,/movies/?id=justsaylove.htm,"$1,400",1,-3,-4,False
The Eclipse,3/26/2010,/movies/?id=eclipse10.htm,"$14,300",6,-3,-4,False
Shall We Kiss?,3/27/2009,/movies/?id=shallwekiss.htm,"$33,100",4,-3,-4,True
Goodbye Solo,3/27/2009,/movies/?id=goodbyesolo.htm,"$43,900",3,"$11,900",3,False
American Swing,3/27/2009,/movies/?id=americanswing.htm,"$11,700",1,-3,-4,False
America Betrayed,3/27/2009,/movies/?id=americabetrayed.htm,$300,1,-3,-4,False
The Cross: The Arthur Blessit Story,3/27/2009,/movies/?id=cross09.htm,"$357,200",221,-3,-4,False
12 Rounds,3/27/2009,/movies/?id=12rounds.htm,"$6,150,800","2,331","$2,087,100","2,331",False
Spinning Into Butter,3/27/2009,/movies/?id=spinningintobutter.htm,"$6,400",4,-3,-4,False
Three Monkeys,3/27/2009,/movies/?id=threemonkeys.htm,"$3,500",1,-3,-4,False
The Haunting in Connecticut,3/27/2009,/movies/?id=hauntinginconnecticut.htm,"$26,551,100","2,732","$11,160,400","2,732",False
Monsters Vs. Aliens,3/27/2009,/movies/?id=monstersvsaliens.htm,"$68,465,800","4,104","$19,336,800","4,104",False
Guest of Cindy Sherman,3/27/2009,/movies/?id=guestofcindysherman.htm,"$8,900",1,-3,-4,False
The Education of Charlie Banks,3/27/2009,/movies/?id=educationofcharliebanks.htm,"$9,900",3,"$3,800",3,False
Welcome to the Punch,3/27/2013,/movies/?id=welcometothepunch.htm,"$3,000",2,-3,-4,False
Along the Roadside,3/27/2015,/movies/?id=alongtheroadside.htm,"$1,000",-,-3,-4,False
A Girl Like Her,3/27/2015,/movies/?id=agirllikeme.htm,-1,-2,-3,-4,False
While We're Young,3/27/2015,/movies/?id=whilewereyoung.htm,"$241,400",4,"$400,000",246,False
The Riot Club,3/27/2015,/movies/?id=riotclub.htm,"$2,300",1,-3,-4,False
The Forecaster,3/27/2015,/movies/?id=theforecaster.htm,-1,-2,-3,-4,False
White God,3/27/2015,/movies/?id=whitegod.htm,"$17,100",2,$500,7,False
Welcome to New York,3/27/2015,/movies/?id=welcometonewyork.htm,-1,-2,-3,-4,False
From Mayerling to Sarajevo (2015 re-issue),3/27/2015,/movies/?id=frommayerlingtosarajevo.htm,"$5,600",1,-3,-4,False
Serena,3/27/2015,/movies/?id=serena.htm,"$106,100",59,-3,-4,False
Home (2015),3/27/2015,/movies/?id=happysmekday.htm,"$55,252,200","3,708","$16,665,200","3,708",False
The Salt of the Earth,3/27/2015,/movies/?id=saltoftheearth.htm,"$47,600(Estimate)",4,-3,-4,False
Man From Reno,3/27/2015,/movies/?id=manfromreno.htm,"$16,100",4,-3,-4,False
Cupcakes,3/27/2015,/movies/?id=cupcakes.htm,"$2,700",1,-3,-4,False
Get Hard,3/27/2015,/movies/?id=gethard.htm,"$35,843,100","3,175","$13,683,200","3,175",False
Marquise of O,3/27/2015,/movies/?id=marquiseofo.htm,"$3,000",1,-3,-4,False
Chapter 27,3/28/2008,/movies/?id=chapter27.htm,"$16,700",1,-3,-4,False
21,3/28/2008,/movies/?id=21.htm,"$28,907,000","2,648","$10,378,800","2,648",False
American Zombie,3/28/2008,/movies/?id=americanzombie.htm,"$3,700",1,-3,-4,False
Hats Off,3/28/2008,/movies/?id=hatsoff.htm,"$7,900",1,-3,-4,False
Flawless (2008),3/28/2008,/movies/?id=flawless07.htm,"$218,100",35,-3,-4,False
Superhero Movie,3/28/2008,/movies/?id=superheromovie.htm,"$11,404,400","2,960","$4,163,500","2,960",False
One Two Three,3/28/2008,/movies/?id=onetwothree08.htm,"$295,900",42,-3,-4,False
Backseat,3/28/2008,/movies/?id=backseat.htm,"$7,000",1,-3,-4,False
A Four Letter Word,3/28/2008,/movies/?id=fourletterword.htm,"$14,500",1,"$4,700",1,False
Stop-Loss,3/28/2008,/movies/?id=stoploss.htm,"$5,462,300","1,291","$2,008,300","1,291",False
My Brother Is an Only Child,3/28/2008,/movies/?id=mybrotherisanonlychild.htm,"$11,200",1,-3,-4,False
Happy Valley,3/28/2008,/movies/?id=happyvalley.htm,"$32,500",7,-3,-4,False
Run Fat Boy Run,3/28/2008,/movies/?id=runfatboyrun.htm,"$2,806,900","1,133","$943,600","1,133",False
The Bodyguard (2012 re-release),3/28/2012,/movies/?id=bodyguard2012.htm,-1,-2,"$66,300",484,False
The Island President,3/28/2012,/movies/?id=islandpresident.htm,"$14,800",2,-3,-4,False
G.I. Joe: Retaliation,3/28/2013,/movies/?id=gijoe2.htm,"$43,919,500","3,719","$11,393,500","3,719",False
Sabotage (2014),3/28/2014,/movies/?id=ten2014.htm,"$5,703,000","2,486","$1,981,700","2,486",False
The Raid 2,3/28/2014,/movies/?id=raid2.htm,"$178,800",7,-3,-4,False
Hide Your Smiling Faces,3/28/2014,/movies/?id=hideyoursmilingfaces.htm,-1,-2,-3,-4,False
Mistaken for Strangers,3/28/2014,/movies/?id=mistakenforstrangers.htm,"$94,900",9,-3,-4,False
Veil of Tears,3/28/2014,/movies/?id=veiloftears.htm,"$48,000",8,-3,-4,False
Finding Vivian Maier,3/28/2014,/movies/?id=findingvivianmaier.htm,"$68,800(Estimate)",3,-3,-4,False
Dishkiyaoon,3/28/2014,/movies/?id=dishkiyaoon.htm,"$8,800",11,-3,-4,False
"No God, No Master",3/28/2014,/movies/?id=nogodnomaster.htm,"$1,600",5,-3,-4,False
Noah,3/28/2014,/movies/?id=noah.htm,"$47,290,600","3,567","$16,423,100","3,567",False
Refuge,3/28/2014,/movies/?id=refuge.htm,"$1,400",1,-3,-4,False
Breathe In,3/28/2014,/movies/?id=breathein.htm,"$16,600",18,-3,-4,False
Jews of Egypt,3/28/2014,/movies/?id=jewsofegypt.htm,"$2,400",1,-3,-4,False
Locker 13,3/28/2014,/movies/?id=locker13.htm,"$2,700",3,-3,-4,False
Cesar Chavez,3/28/2014,/movies/?id=cesarchavez.htm,"$3,095,200",664,"$1,113,600",664,False
I Don't Belong Anywhere: The Cinema of Chantal Akerman,3/28/2016,/movies/?id=idontbelonganywhere.htm,$400,2,$200,1,False
Blancanieves,3/29/2013,/movies/?id=blancanieves.htm,"$27,400",4,-3,-4,False
The Place Beyond the Pines,3/29/2013,/movies/?id=placebeyondthepines.htm,"$303,000",4,"$103,000",4,False
Mental,3/29/2013,/movies/?id=mental.htm,"$10,600",12,-3,-4,False
Renoir,3/29/2013,/movies/?id=renoir.htm,"$70,700",6,-3,-4,False
Tyler Perry's Temptation: Confessions of a Marriage Counselor,3/29/2013,/movies/?id=marriagecounselor.htm,"$23,467,900","2,047","$10,199,300","2,047",False
Himmatwala,3/29/2013,/movies/?id=himmatwala.htm,"$214,500",99,"$78,700",99,False
Room 237,3/29/2013,/movies/?id=room237.htm,"$32,200",2,-3,-4,False
The Host (2013),3/29/2013,/movies/?id=host2013.htm,"$11,494,600","3,202","$5,787,500","3,202",False
White Elephant,3/29/2013,/movies/?id=whiteelephant.htm,"$5,500",1,-3,-4,False
Wrong (2013),3/29/2013,/movies/?id=wrong2013.htm,"$22,100",16,-3,-4,False
Violeta Went to Heaven,3/29/2013,/movies/?id=violetawenttoheaven.htm,"$6,100",2,-3,-4,False
Untitled Disney Fairy Tale (Live Action),3/29/2019,/movies/?id=untitleddisneyfairytalela.htm,-1,-2,-3,-4,False
Box Elder,3/3/2008,/movies/?id=boxelder.htm,"$3,800",1,"$1,400",1,True
Harlan: In the Shadow of Jew Suss,3/3/2010,/movies/?id=harlan.htm,"$10,000",1,-3,-4,False
Short Peace,3/3/2014,/movies/?id=shortpeace.htm,-1,-2,-3,-4,False
Before I Fall,3/3/2017,/movies/?id=beforeifall.htm,-1,-2,-3,-4,False
Table 19,3/3/2017,/movies/?id=table19.htm,-1,-2,-3,-4,False
The Shack,3/3/2017,/movies/?id=theshack.htm,-1,-2,-3,-4,False
My Scientology Movie,3/3/2017,/movies/?id=myscientologymovie.htm,-1,-2,-3,-4,False
Logan,3/3/2017,/movies/?id=wolverine2017.htm,-1,-2,-3,-4,False
T2: Trainspotting,3/3/2017,/movies/?id=trainspotting2.htm,-1,-2,-3,-4,False
After the Wedding,3/30/2007,/movies/?id=afterthewedding.htm,"$59,200",5,-3,-4,False
Radiant City,3/30/2007,/movies/?id=radiantcity.htm,"$10,800",3,-3,-4,False
Race You to the Bottom,3/30/2007,/movies/?id=raceyoutothebottom.htm,"$1,900",1,-3,-4,False
Peaceful Warrior (re-issue),3/30/2007,/movies/?id=peacefulwarrior07.htm,"$60,200",152,-3,-4,False
Meet the Robinsons,3/30/2007,/movies/?id=meettherobinsons.htm,"$31,441,200","3,413","$9,504,400","3,413",False
Ten 'til Noon,3/30/2007,/movies/?id=tentilnoon.htm,"$3,200",1,-3,-4,False
Live Free or Die,3/30/2007,/movies/?id=livefreeordie.htm,"$11,100",5,-3,-4,False
The Hawk Is Dying,3/30/2007,/movies/?id=hawkisdying.htm,"$1,300",1,-3,-4,False
Killer of Sheep (re-issue),3/30/2007,/movies/?id=killerofsheep.htm,"$32,700",2,-3,-4,False
Summer in Berlin,3/30/2007,/movies/?id=summerinberlin.htm,"$6,900",1,-3,-4,False
Blades of Glory,3/30/2007,/movies/?id=bladesofglory.htm,"$41,315,700","3,372","$15,487,900","3,372",False
The Lookout,3/30/2007,/movies/?id=lookout.htm,"$2,525,200",955,"$827,200",955,False
Priceless,3/30/2008,/movies/?id=priceless.htm,"$139,500",24,-3,-4,False
Le Quattro Volte,3/30/2011,/movies/?id=lequattrovolte.htm,"$17,300",1,-3,-4,False
Dark Tide,3/30/2012,/movies/?id=darktide.htm,-1,-2,-3,-4,False
Bully (2012),3/30/2012,/movies/?id=bullyproject.htm,"$123,500",5,"$33,100",5,False
The Beat Hotel,3/30/2012,/movies/?id=beathotel.htm,"$1,500",1,-3,-4,False
Mirror Mirror,3/30/2012,/movies/?id=untitledsnowwhite.htm,"$19,226,300","3,603","$6,314,500","3,603",False
"Turn Me On, Dammit!",3/30/2012,/movies/?id=turnmeondammit.htm,"$10,800",2,-3,-4,False
I Kissed a Vampire,3/30/2012,/movies/?id=ikissedavampire.htm,"$1,500",11,-3,-4,False
Intruders,3/30/2012,/movies/?id=intruders.htm,"$43,200",33,-3,-4,False
Wrath of the Titans,3/30/2012,/movies/?id=clashofthetitans2.htm,"$35,476,200","3,545","$13,389,300","3,545",False
Monumental: In Search of America's National Treasure,3/30/2012,/movies/?id=monumental2012.htm,"$30,100",6,-3,-4,False
Love in the Buff,3/30/2012,/movies/?id=loveinthebuff.htm,"$96,700",10,-3,-4,False
Everybody Wants Some!!,3/30/2016,/movies/?id=smoker.htm,"$308,100",19,"$30,500",5,False
Ready Player One,3/30/2018,/movies/?id=readyplayerone.htm,-1,-2,-3,-4,False
Forza del Destino at Florence,3/31/2008,/movies/?id=forzadeldestinoatflorence.htm,"$5,900",2,-3,-4,False
The Sun Behind the Clouds: Tibet's Struggle for Freedom,3/31/2010,/movies/?id=sunbehindtheclouds.htm,"$11,900",1,-3,-4,False
The Last Song,3/31/2010,/movies/?id=lastsong.htm,"$17,490,300","2,673","$5,550,600","2,673",False
To Catch a Dollar,3/31/2011,/movies/?id=tocatchadollar.htm,-1,-2,-3,-4,False
They Come to America,3/31/2012,/movies/?id=theycometoamerica.htm,"$4,000",1,"$4,100",1,False
Stevie Nicks - In Your Dreams,3/31/2013,/movies/?id=stevienicks.htm,-1,-2,-3,-4,False
Ghost in the Shell (2017),3/31/2017,/movies/?id=ghostintheshell2017.htm,-1,-2,-3,-4,False
Cezanne et moi,3/31/2017,/movies/?id=cezanneetmoi.htm,-1,-2,-3,-4,False
The Zookeeper's Wife,3/31/2017,/movies/?id=zookeeperswife.htm,-1,-2,-3,-4,False
The Boss Baby,3/31/2017,/movies/?id=bossbaby.htm,-1,-2,-3,-4,False
12,3/4/2009,/movies/?id=12.htm,"$13,900",5,-3,-4,False
Rango,3/4/2011,/movies/?id=rango.htm,"$41,712,800","3,917","$10,524,900","3,917",False
I Saw the Devil,3/4/2011,/movies/?id=isawthedevil.htm,"$14,900",2,-3,-4,False
Under the Boardwalk: The Monopoly Story,3/4/2011,/movies/?id=underboardwalk.htm,"$5,500",1,"$2,000",1,False
HappyThankYouMorePlease,3/4/2011,/movies/?id=happythankyoumoreplease.htm,"$38,400",2,"$10,900",2,False
The Human Resources Manager,3/4/2011,/movies/?id=hrmanager.htm,"$9,300",3,-3,-4,False
The Adjustment Bureau,3/4/2011,/movies/?id=adjustmentbureau.htm,"$23,176,600","2,840","$7,373,100","2,840",False
Take Me Home Tonight,3/4/2011,/movies/?id=kidsinamerica2011.htm,"$3,795,300","2,003","$1,370,200","2,003",False
Beastly,3/4/2011,/movies/?id=beastly.htm,"$10,791,100","1,952","$3,958,200","1,952",False
Bereavement,3/4/2011,/movies/?id=bereavement.htm,"$22,700",20,"$8,100",20,False
The Lesson,3/4/2015,/movies/?id=lesson.htm,"$1,900",1,-3,-4,False
Late Spring (2016 re-release),3/4/2016,/movies/?id=latespring2016.htm,"$6,500",1,-3,-4,False
The Wave,3/4/2016,/movies/?id=thewave.htm,"$60,500",33,-3,-4,False
Knight of Cups,3/4/2016,/movies/?id=knightofcups.htm,"$60,800",4,-3,-4,False
Mekong Hotel,3/4/2016,/movies/?id=mekonghotel.htm,"$1,000",1,-3,-4,False
Zootopia,3/4/2016,/movies/?id=disney2016.htm,"$75,325,900","3,827","$19,568,200","3,827",False
Cemetery of Splendor,3/4/2016,/movies/?id=cemeteryofsplendor.htm,"$7,800",2,-3,-4,False
Trapped (2016),3/4/2016,/movies/?id=trapped2016.htm,"$17,700",3,-3,-4,False
They Will Have to Kill Us First,3/4/2016,/movies/?id=theywillhavetokillusfirst.htm,"$4,100",2,"$1,600",1,False
London Has Fallen,3/4/2016,/movies/?id=londonhasfallen.htm,"$21,711,200","3,490","$7,563,900","3,490",False
The Other Side of the Door,3/4/2016,/movies/?id=othersideofthedoor.htm,"$1,215,400",546,"$379,700",546,False
The Boy and the Beast,3/4/2016,/movies/?id=theboyandthebeast.htm,"$275,200",122,"$103,500",123,False
Born to be Blue,3/4/2016,/movies/?id=borntobebluecanada.htm,"$14,100",23,"$1,500",23,False
Colliding Dreams,3/4/2016,/movies/?id=collidingdreams.htm,"$16,500",4,-3,-4,False
Whiskey Tango Foxtrot,3/4/2016,/movies/?id=untitledtinafeycomedy.htm,"$7,476,300","2,374","$2,433,800","2,374",False
White Lies,3/4/2016,/movies/?id=whitelies.htm,"$1,700",2,-3,-4,False
Blindsight,3/5/2008,/movies/?id=blindsight.htm,"$6,300",1,-3,-4,False
Brooklyn's Finest,3/5/2010,/movies/?id=brooklynsfinest.htm,"$14,458,600","1,936","$5,123,300","1,936",False
The Secret of Kells,3/5/2010,/movies/?id=secretofkells.htm,"$43,100",1,"$10,400",1,False
Alice in Wonderland (2010),3/5/2010,/movies/?id=aliceinwonderland10.htm,"$125,739,600","3,728","$44,192,500","3,728",False
Red State,3/5/2011,/movies/?id=redstate.htm,"$223,700",1,"$177,000",1,False
The Long Day Closes (2012 re-release),3/5/2012,/movies/?id=thelongdaycloses.htm,"$1,500",1,-3,-4,False
Particle Fever,3/5/2014,/movies/?id=particlefever.htm,"$58,300",4,"$5,000",3,False
Dhoondte Reh Jaoge,3/6/2009,/movies/?id=dhondterehjaoge.htm,"$5,900",10,"$1,500",10,False
Yaavarum Nalam,3/6/2009,/movies/?id=yaavarumnalam.htm,"$12,800",6,"$3,200",6,False
Sherman's Way,3/6/2009,/movies/?id=shermansway.htm,"$3,200",1,-3,-4,False
Reunion,3/6/2009,/movies/?id=reunion09.htm,"$7,600",2,-3,-4,False
Tokyo!,3/6/2009,/movies/?id=tokyo09.htm,"$26,600",1,-3,-4,False
The Horsemen,3/6/2009,/movies/?id=horsemen.htm,-1,-2,-3,-4,False
Explicit I'LLS,3/6/2009,/movies/?id=explicitills.htm,"$10,500",1,-3,-4,False
Fados,3/6/2009,/movies/?id=fados.htm,"$12,500",1,-3,-4,False
Watchmen,3/6/2009,/movies/?id=watchmen.htm,"$63,725,900","3,611","$28,295,000","3,611",False
13B,3/6/2009,/movies/?id=13b.htm,"$7,800",10,"$2,300",10,False
Shuttle,3/6/2009,/movies/?id=shuttle.htm,"$2,200",1,-3,-4,False
Everlasting Moments,3/6/2009,/movies/?id=everlastingmoments.htm,"$46,700",5,-3,-4,False
Merchants of Doubt,3/6/2015,/movies/?id=merchantsofdoubt.htm,"$21,500(Estimate)",4,-3,-4,False
Straight Outta Tompkins,3/6/2015,/movies/?id=straightouttatompkins.htm,"$4,300",2,-3,-4,False
An Honest Liar,3/6/2015,/movies/?id=anhonestliar.htm,"$14,700",2,$400,3,False
"Like Sunday, Like Rain",3/6/2015,/movies/?id=likesundaylikerain.htm,"$1,100",2,-3,-4,False
Buzzard,3/6/2015,/movies/?id=buzzard.htm,"$8,500",11,-3,-4,False
The Second Best Exotic Marigold Hotel,3/6/2015,/movies/?id=bestexotic2.htm,"$9,055,700","1,573","$2,861,800","1,573",False
Bad Asses on the Bayou,3/6/2015,/movies/?id=badassesonthebayou.htm,-1,-2,-3,-4,False
Road Hard,3/6/2015,/movies/?id=roadhard.htm,"$112,300",22,-3,-4,False
The Mind of Mark DeFriest,3/6/2015,/movies/?id=markdefriest.htm,-1,-2,-3,-4,False
The Mafia Only Kills in Summer,3/6/2015,/movies/?id=mafiakills.htm,"$3,000",3,-3,-4,False
Chappie,3/6/2015,/movies/?id=chappie.htm,"$14,152,200","3,201","$4,807,800","3,201",False
Hayride 2,3/6/2015,/movies/?id=hayride2.htm,"$1,800",10,$500,10,False
Of Horses and Men,3/6/2015,/movies/?id=ofhorsesandmen.htm,"$10,100",1,-3,-4,False
Empire of Lust,3/6/2015,/movies/?id=empireoflust.htm,"$2,400",1,-3,-4,False
Grey Gardens (2015 re-release),3/6/2015,/movies/?id=greygardens2015.htm,"$14,700",1,-3,-4,False
These Final Hours,3/6/2015,/movies/?id=thesefinalhours.htm,-1,-2,-3,-4,False
Detective K: Secret of the Lost Island,3/6/2015,/movies/?id=detectivek.htm,"$61,100",19,-3,-4,False
Unfinished Business,3/6/2015,/movies/?id=vaughn14.htm,"$5,060,600","2,777","$1,911,800","2,777",False
Exterminating Angels,3/7/2007,/movies/?id=exterminatingangels.htm,"$8,100",1,-3,-4,False
Fighting for Life,3/7/2008,/movies/?id=fightingforlife.htm,"$4,100",1,-3,-4,False
Girls Rock!,3/7/2008,/movies/?id=girlsrock.htm,$900,1,-3,-4,False
Snow Angels,3/7/2008,/movies/?id=snowangels.htm,"$17,100",2,"$4,100",2,False
"10,000 B.C.",3/7/2008,/movies/?id=10000bc.htm,"$43,011,000","3,410","$14,997,800","3,410",False
Last Stop for Paul,3/7/2008,/movies/?id=laststopforpaul.htm,"$9,100",2,-3,-4,False
Married Life,3/7/2008,/movies/?id=marriedlife.htm,"$67,000",9,-3,-4,False
CJ7,3/7/2008,/movies/?id=cj7.htm,"$59,700",19,-3,-4,False
College Road Trip,3/7/2008,/movies/?id=collegeroadtrip.htm,"$16,310,300","2,706","$4,241,000","2,706",False
It Always Rains on Sunday (re-issue),3/7/2008,/movies/?id=italwaysrainsonsunday08.htm,"$8,600",1,"$2,000",1,False
Body of War,3/7/2008,/movies/?id=bodyofwar.htm,"$4,000",1,-3,-4,False
La Ligne brisee,3/7/2008,/movies/?id=lalignebrisee.htm,"$225,400",61,-3,-4,False
Bar Starz,3/7/2008,/movies/?id=barstarz.htm,-1,-2,-3,-4,False
Miss Pettigrew Lives for a Day,3/7/2008,/movies/?id=misspettigrewlivesforaday.htm,"$2,987,000",535,"$839,700",535,False
Paranoid Park,3/7/2008,/movies/?id=paranoidpark.htm,"$35,800",2,-3,-4,False
The Bank Job,3/7/2008,/movies/?id=bankjob.htm,"$7,117,300","1,603","$2,093,200","1,603",False
Girl Rising,3/7/2013,/movies/?id=girlrising.htm,"$88,500",34,"$155,900",69,False
War of the Worlds: Goliath,3/7/2014,/movies/?id=goliath.htm,"$14,500",18,-3,-4,False
300: Rise of An Empire,3/7/2014,/movies/?id=300sequel.htm,"$48,716,200","3,470","$18,879,600","3,470",False
Beyond Sight: The Derek Rabelo Story,3/7/2014,/movies/?id=beyondsight.htm,"$29,000",2,-3,-4,False
Mr. Peabody & Sherman,3/7/2014,/movies/?id=mrpeabodyandsherman.htm,"$34,837,000","3,934","$8,673,700","3,934",False
Grand Piano,3/7/2014,/movies/?id=grandpiano.htm,"$3,200",2,-3,-4,False
Special ID,3/7/2014,/movies/?id=specialid.htm,"$6,700",10,-3,-4,False
The Only Real Game,3/7/2014,/movies/?id=onlyrealgame.htm,"$1,200",1,-3,-4,False
Journey to the West,3/7/2014,/movies/?id=journeytothewest.htm,"$8,100",7,-3,-4,False
The Face of Love,3/7/2014,/movies/?id=faceoflove.htm,"$26,700",3,-3,-4,False
The Grand Budapest Hotel,3/7/2014,/movies/?id=grandbudapesthotel.htm,"$877,400",4,"$281,700",4,True
A Farewell to Fools,3/7/2014,/movies/?id=farewelltofools.htm,-1,-2,-3,-4,False
Bethlehem,3/7/2014,/movies/?id=bethlehem.htm,"$75,400(Estimate)",26,-3,-4,False
Greedy Lying Bastards,3/8/2013,/movies/?id=greedylyingbastards.htm,"$48,800",50,-3,-4,False
Don't Stop Believin': Everyman's Journey,3/8/2013,/movies/?id=dontstopbelievin.htm,"$27,700",23,-3,-4,False
The Kitchen,3/8/2013,/movies/?id=kitchen.htm,"$1,700",2,-3,-4,False
Dead Man Down,3/8/2013,/movies/?id=deadmandown.htm,"$5,796,300","2,188","$1,987,100","2,188",False
Le Petit Soldat (2013 re-release),3/8/2013,/movies/?id=lepetitsoldad.htm,"$7,400",1,"$2,000",1,False
Language of a Broken Heart,3/8/2013,/movies/?id=languagebroken.htm,"$6,400",1,-3,-4,False
Oz The Great and Powerful,3/8/2013,/movies/?id=oz.htm,"$85,786,000","3,912","$26,130,000","3,912",False
The ABC's of Death,3/8/2013,/movies/?id=abcsofdeath.htm,"$11,000",19,-3,-4,False
The Silence,3/8/2013,/movies/?id=silence2013.htm,"$8,700",2,-3,-4,False
The Girl (2013),3/8/2013,/movies/?id=girl2013.htm,"$12,100",2,-3,-4,False
Somebody Up There Likes Me,3/8/2013,/movies/?id=somebodyupthere13.htm,"$37,300",1,-3,-4,False
Beyond the Hills,3/8/2013,/movies/?id=beyondthehills.htm,"$15,900",3,-3,-4,False
The Monk,3/8/2013,/movies/?id=monk2013.htm,"$9,100",11,-3,-4,False
The We and the I,3/8/2013,/movies/?id=weandthei.htm,"$11,700",1,-3,-4,False
Emperor,3/8/2013,/movies/?id=emperor.htm,"$1,099,700",260,"$358,700",260,False
Skinless,3/8/2014,/movies/?id=skinless.htm,$200,1,-3,-4,False
Captain Marvel,3/8/2019,/movies/?id=marvel2018a.htm,-1,-2,-3,-4,False
300,3/9/2007,/movies/?id=300.htm,"$88,709,700","3,103","$35,174,300","3,103",False
The Namesake,3/9/2007,/movies/?id=namesake.htm,"$311,100",6,"$87,900",6,False
The Host,3/9/2007,/movies/?id=host.htm,"$393,600",71,"$106,400",71,False
Believe in Me,3/9/2007,/movies/?id=believeinme.htm,"$102,100",54,-3,-4,False
Beyond the Gates,3/9/2007,/movies/?id=beyondthegates07.htm,"$8,000",1,-3,-4,False
Islander,3/9/2007,/movies/?id=islander.htm,"$11,100",3,-3,-4,False
The Ultimate Gift,3/9/2007,/movies/?id=ultimategift.htm,"$1,553,200",816,"$538,100",816,False
Maxed Out,3/9/2007,/movies/?id=maxedout.htm,"$25,100",6,-3,-4,False
Take Me Home,3/9/2012,/movies/?id=takemehome.htm,$400,1,-3,-4,False
Footnote,3/9/2012,/movies/?id=footnote.htm,"$51,700",2,-3,-4,False
Friends with Kids,3/9/2012,/movies/?id=friendswithkids.htm,"$2,195,000",369,"$647,200",369,False
A Thousand Words,3/9/2012,/movies/?id=athousandwords.htm,"$6,714,400","1,890","$2,080,100","1,890",False
Attenberg,3/9/2012,/movies/?id=attenberg.htm,"$4,300",1,-3,-4,False
